"","apt_price","area_m2","floor_no","year_built","ym_sale","day_sale","urban","price_pyung","yr_built","yr_built2","season","urban2"
"7584",10500,72.78,8,1993,201901,2,"µø",476.092333058533,"1990s","Old","∞‹øÔ","µµΩ√"
"7585",11700,72.78,10,1993,201901,3,"µø",530.502885408079,"1990s","Old","∞‹øÔ","µµΩ√"
"7586",11500,72.33,7,1993,201901,15,"µø",524.678556615512,"1990s","Old","∞‹øÔ","µµΩ√"
"7587",13500,84.81,5,1993,201901,18,"µø",525.291828793774,"1990s","Old","∞‹øÔ","µµΩ√"
"7588",11700,84.81,14,1993,201901,23,"µø",455.252918287938,"1990s","Old","∞‹øÔ","µµΩ√"
"7589",13500,84.81,14,1993,201901,30,"µø",525.291828793774,"1990s","Old","∞‹øÔ","µµΩ√"
"7590",15000,123.81,7,1993,201901,31,"µø",399.806154591713,"1990s","Old","∞‹øÔ","µµΩ√"
"7591",13000,84.81,6,1993,201902,13,"µø",505.836575875486,"1990s","Old","∞‹øÔ","µµΩ√"
"7592",13900,84.81,11,1993,201902,18,"µø",540.856031128405,"1990s","Old","∞‹øÔ","µµΩ√"
"7593",11300,72.78,6,1993,201902,19,"µø",512.366034624897,"1990s","Old","∞‹øÔ","µµΩ√"
"7594",13800,84.81,4,1993,201902,19,"µø",536.964980544747,"1990s","Old","∞‹øÔ","µµΩ√"
"7595",13050,84.81,2,1993,201902,20,"µø",507.782101167315,"1990s","Old","∞‹øÔ","µµΩ√"
"7596",12800,84.81,1,1993,201902,20,"µø",498.054474708171,"1990s","Old","∞‹øÔ","µµΩ√"
"7597",10900,72.78,9,1993,201902,22,"µø",494.229183841715,"1990s","Old","∞‹øÔ","µµΩ√"
"7598",14000,84.81,12,1993,201902,25,"µø",544.747081712062,"1990s","Old","∞‹øÔ","µµΩ√"
"7599",17100,123.81,8,1993,201903,27,"µø",455.779016234553,"1990s","Old","∫Ω","µµΩ√"
"7600",16800,123.81,5,1993,201903,30,"µø",447.782893142719,"1990s","Old","∫Ω","µµΩ√"
"7601",13000,84.81,12,1993,201904,3,"µø",505.836575875486,"1990s","Old","∫Ω","µµΩ√"
"7602",14000,84.81,8,1993,201904,3,"µø",544.747081712062,"1990s","Old","∫Ω","µµΩ√"
"7603",10000,72.78,5,1993,201904,5,"µø",453.421269579555,"1990s","Old","∫Ω","µµΩ√"
"7604",17500,123.81,13,1993,201904,12,"µø",466.440513690332,"1990s","Old","∫Ω","µµΩ√"
"7605",10800,72.78,5,1993,201904,12,"µø",489.694971145919,"1990s","Old","∫Ω","µµΩ√"
"7606",13400,84.81,8,1993,201904,13,"µø",521.400778210117,"1990s","Old","∫Ω","µµΩ√"
"7607",15000,123.81,14,1993,201906,7,"µø",399.806154591713,"1990s","Old","ø©∏ß","µµΩ√"
"7608",16250,123.81,6,1993,201906,22,"µø",433.123334141022,"1990s","Old","ø©∏ß","µµΩ√"
"7609",13300,84.81,14,1993,201906,25,"µø",517.509727626459,"1990s","Old","ø©∏ß","µµΩ√"
"7610",11200,72.78,4,1993,201907,14,"µø",507.831821929101,"1990s","Old","ø©∏ß","µµΩ√"
"7611",16500,123.81,7,1993,201907,20,"µø",439.786770050884,"1990s","Old","ø©∏ß","µµΩ√"
"7612",12700,84.81,13,1993,201907,22,"µø",494.163424124514,"1990s","Old","ø©∏ß","µµΩ√"
"7613",11800,84.81,6,1993,201908,4,"µø",459.143968871595,"1990s","Old","ø©∏ß","µµΩ√"
"7614",15000,123.81,14,1993,201908,7,"µø",399.806154591713,"1990s","Old","ø©∏ß","µµΩ√"
"7615",12300,84.81,3,1993,201908,8,"µø",478.599221789883,"1990s","Old","ø©∏ß","µµΩ√"
"7616",15000,84.81,13,1993,201908,12,"µø",583.657587548638,"1990s","Old","ø©∏ß","µµΩ√"
"7617",18000,123.81,6,1993,201908,14,"µø",479.767385510056,"1990s","Old","ø©∏ß","µµΩ√"
"7618",13500,84.81,4,1993,201908,14,"µø",525.291828793774,"1990s","Old","ø©∏ß","µµΩ√"
"7619",13300,84.81,8,1993,201908,20,"µø",517.509727626459,"1990s","Old","ø©∏ß","µµΩ√"
"7620",10000,72.78,1,1993,201908,30,"µø",453.421269579555,"1990s","Old","ø©∏ß","µµΩ√"
"7621",9000,59.26,3,2003,201812,19,"µø",501.18123523456,"2000s","New","∞‹øÔ","µµΩ√"
"7622",10000,56.87,6,2003,201901,15,"µø",580.270793036751,"2000s","New","∞‹øÔ","µµΩ√"
"7623",6000,28.98,10,2003,201908,2,"µø",683.229813664596,"2000s","New","ø©∏ß","µµΩ√"
"7624",5400,29.92,6,1999,201809,2,"µø",595.588235294118,"1990s","Old","∞°¿ª","µµΩ√"
"7625",5350,29.92,3,1999,201811,21,"µø",590.073529411765,"1990s","Old","∞°¿ª","µµΩ√"
"7626",5500,29.92,8,1999,201811,21,"µø",606.617647058823,"1990s","Old","∞°¿ª","µµΩ√"
"7627",5500,29.92,6,1999,201811,27,"µø",606.617647058823,"1990s","Old","∞°¿ª","µµΩ√"
"7628",4900,29.92,13,1999,201812,1,"µø",540.441176470588,"1990s","Old","∞‹øÔ","µµΩ√"
"7629",5700,29.92,14,1999,201812,13,"µø",628.676470588235,"1990s","Old","∞‹øÔ","µµΩ√"
"7630",5500,29.92,11,1999,201812,14,"µø",606.617647058823,"1990s","Old","∞‹øÔ","µµΩ√"
"7631",4500,29.92,5,1999,201812,26,"µø",496.323529411765,"1990s","Old","∞‹øÔ","µµΩ√"
"7632",5500,29.92,5,1999,201812,26,"µø",606.617647058823,"1990s","Old","∞‹øÔ","µµΩ√"
"7633",4800,29.92,3,1999,201901,20,"µø",529.411764705882,"1990s","Old","∞‹øÔ","µµΩ√"
"7634",5200,29.92,13,1999,201901,21,"µø",573.529411764706,"1990s","Old","∞‹øÔ","µµΩ√"
"7635",5500,29.92,5,1999,201903,11,"µø",606.617647058823,"1990s","Old","∫Ω","µµΩ√"
"7636",5500,29.92,9,1999,201904,3,"µø",606.617647058823,"1990s","Old","∫Ω","µµΩ√"
"7637",4100,29.92,2,1999,201904,10,"µø",452.205882352941,"1990s","Old","∫Ω","µµΩ√"
"7638",5000,29.92,3,1999,201904,13,"µø",551.470588235294,"1990s","Old","∫Ω","µµΩ√"
"7639",5500,29.92,8,1999,201905,17,"µø",606.617647058823,"1990s","Old","∫Ω","µµΩ√"
"7640",5000,29.92,14,1999,201907,4,"µø",551.470588235294,"1990s","Old","ø©∏ß","µµΩ√"
